company,pp,res,rows,issuer,nav,cells,median_spread_pct,rule_label,label,basis,note
NM:ALLBIRDS,0.9045226130653267,1.0,995,ALLBIRDS INC,1252883083.44,21,7.867665245667865,venture,venture,verified,pre-IPO venture; cells end at the Nov-2021 listing
NM:ABL SPACE,0.951048951048951,0.9020979020979021,143,ABL SPACE SYSTEMS SER B CVT PFD STOCK PP,1247661961.51,12,1.6727189966481149e-06,venture,venture,verified,venture-backed
NM:INSITRO,0.5882352941176471,1.0,187,INSITRO SER B CVT PFD PP,1205878135.53,22,57.95717627428524,venture,venture,verified,venture-backed
NM:CIRCLE INTERNET FINANCIAL,0.6588235294117647,0.7176470588235294,170,CIRCLE INTERNET FINANCIAL LLC,1174472279.81,10,51.92344263057137,unclassified,venture,verified,pre-IPO venture; cells end Mar-2025
NM:WINDSTREAM,0.0,0.42857142857142855,119,"Windstream Holdings, Inc.",1157834804.88,17,20.067026670235233,unclassified,private_nonventure,verified,"same issuer, separate cluster"
ROW:276764,1.0,1.0,30,AH PARENT INC,1153496076.42,6,2.9164133053895647,venture,unclassified,unresolved,AH Parent Inc; the filings identify no operating company and public sources do not resolve the name
NM:PAX,0.32051282051282054,1.0,390,JUUL LABS INC,1146506783.06,27,160.97560975609758,venture,venture,verified,"Juul Labs; venture and strategic capital, private"
NM:SEISMIC SOFTWARE,0.970954356846473,1.0,241,Seismic Software Inc,1117057118.23,21,2.220446049250313e-14,venture,venture,verified,venture-backed
NM:CELONIS SE,0.6020408163265306,1.0,98,Celonis SE,1111152522.74,10,0.0,venture,venture,verified,venture-backed
NM:FORESEA,0.0017152658662092624,0.3704974271012007,1166,FORESEA HOLDING SA,1102991552.75,12,40.701663298724824,unclassified,private_nonventure,verified,"Foresea Holding, ex-Constellation Oil; reorganisation equity"
NM:QUARTERNORTH ENERGY IN,0.0,0.5,34,Quarternorth Energy Holding Inc.,1098994429.8,5,43.262711864406796,unclassified,private_nonventure,verified,equity from the Fieldwood reorganisation
NM:ANT,0.5,0.9464285714285714,56,Ant Group Co Ltd,1098125745.48,7,152.82569892342198,venture,venture,verified,Ant Group; private after the 2020 listing was pulled
NM:BETA,0.8205128205128205,1.0,156,BETA TECHNOLOGIES INC,1025857960.46,14,12.054576736750688,venture,venture,verified,Beta Technologies; venture-backed
NM:CLEERLY,1.0,1.0,235,None,982532870.05,30,7.129953974961111,venture,venture,verified,venture-backed
NM:LOADSMART,0.034782608695652174,1.0,230,Loadsmart Inc,953922335.63,17,88.03222094361335,unclassified,venture,verified,venture-backed
NM:EMIRATES TELECOMMUNICATIONS ETISALAT,0.0,0.0,25,Emirates Telecommunications Group Co PJSC,950132740.89,2,2.010652731165641,listed,listed,verified,listed on the ADX
NM:HONEST,0.6592356687898089,0.8662420382165605,314,HONEST CO INC (THE),945960883.26,20,59.71492328062967,venture,venture,verified,pre-IPO venture; cells end at the May-2021 listing
NM:CEREBRAS,0.8823529411764706,1.0,34,CEREBRAS SYSTEMS INC,941212576.44,3,0.006624333775051561,venture,venture,verified,venture-backed
NM:SAMBANOVA SAFE,0.005988023952095809,1.0,167,SAMBANOVA SYSTEMS INC,915842997.16,16,0.0,unclassified,venture,verified,SambaNova Series D; venture-backed
NM:LIGHTMATTER,0.9747899159663865,1.0,119,LIGHTMATTER INC,914778926.52,8,61.46597858012505,venture,venture,verified,venture-backed
NM:ABU DHABI COMMERCIAL BANK P J S C,0.0,0.0,52,Abu Dhabi Commercial Bank PJSC,911448985.253154,5,0.0705638480118953,listed,listed,verified,listed on the ADX
NM:FORMAGRID,0.5060240963855421,1.0,83,FORMAGRID INC SER F C,869369218.61,14,0.0,venture,venture,verified,Airtable; venture-backed
NM:MACQUARIE,0.0,0.0,11,Macquarie Group Ltd,858023216.62,1,1.2986070087934065,listed,listed,verified,listed on the ASX
NM:ICAPITAL,0.9347826086956522,1.0,46,iCapital Inc Common Stock PP,849903058.8,3,5.200383650723661,venture,venture,verified,growth-equity backed; private
NM:FREENOME,0.8,1.0,210,FREENOME INC,834971370.97,23,9.004237288135574,venture,venture,verified,venture-backed
NM:DIDI CHUXING,0.0,0.9827586206896551,58,DIDI CHUXING,822858369.27,7,0.0,unclassified,venture,verified,"Didi, separate cluster"
ROW:33117,0.18064516129032257,0.6903225806451613,155,MAGIC LEAP INC,803839894.76,6,101.08440668251059,unclassified,venture,verified,"Magic Leap; venture and sovereign capital, private"
NM:WEWORK,0.13392857142857142,0.8035714285714286,224,WEWORK COS INC,769237581.89,9,2.0733652312599604,unclassified,venture,verified,venture and SoftBank capital; private over these cells
NM:DNA SCRIPT,0.7713498622589532,1.0,363,DNA SCRIPT SAS,758834873.92,34,126.30305107756215,venture,venture,verified,venture-backed
NM:RAD POWER BIKES,0.9349593495934959,1.0,492,RAD POWER BIKES INC,755700208.23,18,27.964818874621578,venture,venture,verified,venture-backed
NM:DISCORD,0.6417322834645669,0.9488188976377953,254,DISCORD INC,721342438.45,29,34.05274903024256,venture,venture,verified,venture-backed
NM:SOCURE,0.7221052631578947,1.0,950,None,713699802.44,18,0.0,venture,venture,verified,venture-backed
NM:BENDING SPOONS SPA,0.9090909090909091,0.9090909090909091,22,BENDING SPOONS SPA,698946434.0999999,2,15.373772235592142,venture,venture,verified,growth-equity backed; private
NM:REVOLUT,0.8813559322033898,0.9322033898305084,59,REVOLUT GROUP HOLDINGS LTD,676576653.52,6,14.161515249898503,venture,venture,verified,venture-backed
NM:RELIANCE STRATEGIC INVESTMENTS,0.0,0.025974025974025976,77,JIO FINANCIAL SERVICES LTD,667735518.5899999,1,96.9006536017545,unclassified,listed,verified,Jio Financial Services; listed on the NSE
NM:CARIS LIFE,0.48863636363636365,1.0,176,CARIS LIFE SER D CVT PFD,655821542.36,15,0.0,venture,venture,verified,"Caris Life Sciences, separate cluster"
NM:VERSA NETWORKS,0.0,1.0,50,VERSA NETWORKS INC,647656791.04,7,0.0,unclassified,venture,verified,venture-backed
ROW:260967,0.11267605633802817,0.7887323943661971,142,SB TECHNOLOGY CORP,631869490.78,12,0.0,unclassified,venture,verified,"SB Technology; Series D and E convertible preferred, private"
NM:INSCRIPTA,0.940677966101695,1.0,118,INSCRIPTA SERIES E CVT PFD STOCK PP,625323441.9,12,4.480286738351258,venture,venture,verified,venture-backed
NM:CAYENNE AVIATION,0.0,0.0,119,CAYENNE AVIATION LLC,615685990.82,9,5.685610648953343e-07,listed,private_nonventure,verified,aircraft leasing vehicle
NM:AIMBRIDGE TOPCO,0.0,0.06349206349206349,63,Aimbridge Topco LLC,613013700.5,9,28.601460670807487,unclassified,private_nonventure,verified,buyout portfolio company
NM:SAMSUNG BIOLOGICS,0.0,0.30303030303030304,33,SAMSUNG BIOLOGICS CO LTD,604182032.51,1,10.594980397383269,unclassified,listed,verified,listed on the KRX
NM:SECURITYSCORECARD,0.8333333333333334,1.0,96,SecurityScorecard Inc,592107498.48,16,0.0,venture,venture,verified,venture-backed
NM:TEXGEN POWER,0.0,0.08571428571428572,140,TEXGEN POWER LLC,587658522.9,18,12.906249999999996,unclassified,private_nonventure,verified,power assets from a reorganisation
NM:XAI,0.7441860465116279,1.0,43,xAI Corp,581014273.4,3,0.0,venture,venture,verified,"xAI, separate cluster from the same issuer"
NM:DOORDASH,0.7804878048780488,0.9390243902439024,82,DOORDASH SER G CVT PFD STOCK PP,544535933.6700001,4,0.00021930898009836497,venture,venture,verified,pre-IPO venture; cells end at the Dec-2020 listing
NM:DOXIMITY,0.6,1.0,35,DOXIMITY INC,509016601.31,7,46.96707105719238,venture,venture,verified,pre-IPO venture; cells end at the Jun-2021 listing
NM:FLEXE,0.4198473282442748,1.0,131,FLEXE SERIES C CVT PFD STOCK,505210705.84999996,17,2.220446049250313e-14,venture,venture,verified,venture-backed
ROW:307576,0.0,0.006430868167202572,311,MYT Holding LLC,495511649.82,25,85.5779400800708,unclassified,unclassified,unclassified,
NM:DATA ROBOT,0.23255813953488372,0.9069767441860465,215,DATAROBOT SERIES G CVT,492012270.04,20,48.87895424064308,unclassified,unclassified,unclassified,
NM:PALANTIR,0.0,0.7543859649122807,114,"Palantir Technologies, Inc., Series I",479789072.7,5,5.57432432432432,unclassified,venture,verified,pre-IPO preferred D/E/J; cells end at the Sep-2020 listing
NM:OUTSET MEDICAL,0.8740740740740741,1.0,135,OUTSET MEDICAL INC,464479815.31,8,32.72727272727272,venture,venture,verified,pre-IPO preferred; cells end at the Sep-2020 listing
NM:ACRISURE,0.3333333333333333,0.3333333333333333,60,ACRISURE HOLDINGS INC,461595664.9,6,0.0,unclassified,unclassified,unclassified,
NM:VENATOR MATERIALS,0.0,0.10112359550561797,89,VENATOR MATERIALS PLC,460240429.65,11,18.032786885245898,unclassified,unclassified,unclassified,
NM:AVIDXCHANGE,0.4,0.6,15,"Avidxchange, Inc.",432950884.23,3,10.279115312048415,unclassified,unclassified,unclassified,
NM:VROOM,0.851063829787234,1.0,47,"VROOM INC, PP",432214022.31,3,0.00017141026564804207,venture,venture,verified,pre-IPO preferred; cells end at the Jun-2020 listing
NM:LARONDE,0.5,0.75,32,LARONDE SERIES B CVT PFD STOCK PP,425529552.34000003,4,19.25419217365273,venture,venture,rule,
NM:JONAH ENERGY PARENT,0.0,0.0,81,JONAH ENERGY PARENT LLC,412385949.58,12,22.46280082203411,listed,listed,rule,
NM:DRAFTKINGS,0.7547169811320755,0.9433962264150944,53,Draftkings Inc,410557694.24,5,26.861849723626175,venture,venture,verified,pre-merger private stock; cells end at the Apr-2020 listing
NM:GCL POLY ENERGY,0.0,0.0,44,GCL-Poly Energy Holdings Ltd,407760333.58000004,4,84.8438252529373,listed,listed,rule,
NM:GITLAB,0.21052631578947367,0.7894736842105263,38,GITLAB CLASS B COMMON,405507165.7,4,9.399999999999986,unclassified,unclassified,unclassified,
NM:JUMPCLOUD,0.0,1.0,170,"Jumpcloud, Inc., Series E-1",392404268.25,16,0.0,unclassified,unclassified,unclassified,
NM:GM CRUISE,0.0,1.0,168,GM CRUISE HOLDINGS LLC,390560505.21,20,17.424014558439783,unclassified,unclassified,unclassified,
NM:GUPSHUP,0.8503937007874016,1.0,127,GUPSHUP INC,381713564.42,19,43.137254901960766,venture,venture,rule,
NM:HAUL HUB,0.8,1.0,155,None,377107988.48,20,2.220446049250313e-14,venture,venture,rule,
NM:X,0.0,1.0,54,X HOLDINGS CORP,366040933.0,6,9.132503660322111,unclassified,unclassified,unclassified,
NM:TEYA SERVICES,0.0,1.0,117,SALT PAY CO LTD,361055108.11,16,0.0,unclassified,unclassified,unclassified,
NM:NEBIUS N V,0.0,0.038461538461538464,26,YANDEX NV,358648306.02,1,171.76623966307866,unclassified,unclassified,unclassified,
NM:LG,0.0,0.0,28,LG Corp,357820947.27,1,0.5427295560536338,listed,listed,rule,
NM:THEMIS SOL SR E,0.8571428571428571,1.0,42,THEMIS SOL (CLIO) SR E CVT PFD STOCK PP,337181054.28,6,0.0,venture,venture,rule,
NM:SNORKEL AI,0.0,1.0,266,"Snorkel AI, Inc.",326916676.14,16,0.0,unclassified,unclassified,unclassified,
NM:CAPSULE,0.5641025641025641,1.0,117,CAPSULE SERIES D CVT PFD STOCK PP,325483019.93,12,1.7080419767445676e-05,venture,venture,rule,
NM:23ANDME,0.8769230769230769,1.0,65,23ANDME INC,321222807.42,4,100.4489955183792,venture,venture,rule,
NM:APARTMENT LIST,0.46808510638297873,1.0,47,Apartment List Inc,320697025.09000003,9,5.940321527512449,venture,venture,rule,
NM:LESSEN,0.0,0.12048192771084337,166,LESSEN HOLDINGS INC PREF,311929154.12,16,0.0,unclassified,unclassified,unclassified,
NM:VENTURE TRUST,1.0,1.0,156,VENTURE HOLDINGS TRUST,297205223.68,13,0.0,venture,venture,rule,
NM:TENSTORRENT,0.85,0.85,120,TENSTORRENT HOLDINGS INC,295927482.34,7,19.15054413542927,venture,venture,rule,
NM:COUPANG,0.75,1.0,24,COUPANG,293788839.83000004,3,43.599999999999994,venture,venture,rule,
NM:ELEMENT BIOSCIENCES,0.8018867924528302,1.0,106,ELEMENT BIOSCIENCES INC,292356560.2,14,20.6933250653462,venture,venture,rule,
NM:FORESIGHT ENERGY,0.0,0.37623762376237624,101,FORESIGHT ENERGY LLC EQUITY,290731033.17,12,66.61027199333051,unclassified,unclassified,unclassified,
NM:RANGE RED ACQ ROBERTSHAW,0.0,0.0,35,RANGE RED ACQ LLC (ROBERTSHAW,285494897.12,7,0.0,listed,listed,rule,
NM:HONOR,0.9,1.0,50,HONOR TECHNOLOGY SER D CVT PFD PP,282212039.62,5,3.5832360190113377e-06,venture,venture,rule,
NM:BRILLIANCE CHI,0.0,0.0,110,Brilliance China Automotive Holdings Ltd,281501281.70110744,7,100.02317539760139,listed,listed,rule,
NM:ACERTA PHARMA,0.47058823529411764,0.7647058823529411,17,"Acerta Pharma BV, Series B",280418621.81,3,12.38859450179859,venture,venture,rule,
NM:1STDIBS,1.0,1.0,35,1STDIBS.COM SER D CVT PFD STOCK PP,273923982.71,7,0.0,venture,venture,rule,
NM:SKYRYSE,0.375,0.7083333333333334,24,SKYRYSE INC,270166590.74,3,11.508335007029524,unclassified,unclassified,unclassified,
NM:LOOKOUT,0.39344262295081966,0.7213114754098361,122,LOOKOUT INC SER F CVT PFD PP,267348497.59,9,204.29687500000006,unclassified,unclassified,unclassified,
NM:TML COML VEHS,0.0,0.029411764705882353,34,Tata Motors Ltd /new,257497908.45,1,5.27056861847468,unclassified,unclassified,unclassified,
NM:PROGNOMIQ,0.8974358974358975,0.9384615384615385,195,PROGNOMIQ INC,256231998.93,19,21.21933502620472,venture,venture,rule,
NM:SUNAC CHINA,0.0,0.0,184,Sunac China Holdings Ltd,246999189.32999998,7,100.0038296676673,listed,listed,rule,
NM:MNTN DIGITAL,0.0,1.0,100,MNTN DIGITAL,245346892.74,12,0.0,unclassified,unclassified,unclassified,
NM:INCORA TOP HOLDCO,0.0,0.2978723404255319,47,Incora Top Holdco LLC,238386247.75,4,35.08201409034396,unclassified,unclassified,unclassified,
NM:ALIGNMENT HEALTHCARE PARTNERS,0.21428571428571427,1.0,28,ALIGNMENT HEALTHCARE PARTNERS LP,237969990.29,4,35.070466659515645,unclassified,unclassified,unclassified,
NM:NCINO,1.0,1.0,36,NCINO INC PP,236593478.07,4,0.0,venture,venture,rule,
ROW:286127,0.0,0.0,371,PDL BioPharma Inc,233386292.85,23,68.02721088435374,listed,listed,rule,
NM:MAPBLEBEAR DBA INSTACART,0.0,1.0,28,MAPBLEBEAR DBA INSTACART SER E,232978470.24,4,0.0,unclassified,unclassified,unclassified,
NM:SOCIAL FINANCE VOTING CS,1.0,1.0,6,SOCIAL FINANCE (DBA SOFI) VOTING CS PP,232978348.08,1,0.0,venture,venture,rule,
NM:MPLX,0.0,0.0,35,MPLX LP,232958705.57999998,7,8.49907172524782,listed,listed,rule,
NM:TRITON INTERNATIONAL,0.0,0.0,24,Triton International Ltd.,228310875.72,1,3.419869563801181,listed,listed,rule,
NM:GULFPORT ENRGY CRP,0.0,0.06349206349206349,189,Gulfport Energy Corp.,224753979.15,21,4.223832888254808,unclassified,unclassified,unclassified,
NM:AVZ MINERALS,0.0,0.0,163,AVZ Minerals Ltd,223104214.08,15,102.82691743439148,listed,listed,verified,listed on the ASX; suspended
NM:CRB,0.5392156862745098,0.9705882352941176,102,CRB Group Inc,222655369.63,11,0.0,venture,venture,rule,
NM:NEWCREST MINING,0.0,0.0,24,Newcrest Mining Ltd,219300498.92999998,1,8.132806058000085,listed,listed,rule,
ROW:275987,0.9423076923076923,1.0,208,None,214586627.94,28,98.23232323232324,venture,venture,rule,
NM:SHIMAO PROPERTY,0.0,0.0,288,Shimao Group Holdings Ltd,213243374.49,13,121.00001095986643,listed,listed,rule,
NM:GRAND ROUNDS,0.0,0.8533333333333334,75,"Grand Rounds, Inc., Series C",202910603.43,11,33.673469387755105,unclassified,unclassified,unclassified,
NM:CHINA CITIC FINANCIAL ASSET MANAGEMENT,0.015037593984962405,0.41353383458646614,133,China Huarong Asset Management Co Ltd,202829490.33,7,100.00254587184783,unclassified,unclassified,unclassified,
NM:VERGE GENOMICS,0.0,1.0,119,VERGE GENOMICS,201521636.87,13,0.0,unclassified,unclassified,unclassified,
NM:NEW HORIZON HEALTH,0.0,0.4536082474226804,97,New Horizon Health Ltd,199860605.47,12,99.99999858578434,unclassified,unclassified,unclassified,
ROW:38610,0.0,0.02127659574468085,94,ATD New Holdings Inc,193295501.99,14,47.69311976701857,unclassified,unclassified,unclassified,
NM:IAP WORLDWIDE SERVICES,0.0,0.4307692307692308,65,"IAP Worldwide Services, Inc.",189429315.5,13,53.80915748861683,unclassified,unclassified,unclassified,
NM:HAIER SMART HOME,0.0,0.0,21,HAIER SMART HOME CO LTD,187179122.31780002,1,0.03010667376921461,listed,listed,rule,
NM:CHINA EVERGRANDE,0.0,0.0,144,China Evergrande Group,186351882.42000002,13,60.436880928825644,listed,listed,rule,
NM:COREWEAVE,0.0,0.9,20,COREWEAVE INC,184181609.7,2,12.965532821274117,unclassified,unclassified,unclassified,
NM:COLOR HEALTH,0.5714285714285714,1.0,84,None,179847907.79,12,145.65904162004614,venture,venture,rule,
